Island,lon,lat
OUFI,-156.884,21.3197
OUFI,-156.865,21.3217
OUFI,-156.858,21.3246
OUFI,-156.837,21.3226
OUFI,-156.83,21.3234
OUFI,-156.81,21.3171
OUFI,-156.797,21.31
OUFI,-156.787,21.3042
OUFI,-156.762,21.2969
OUFI,-156.752,21.2986
OUFI,-156.743,21.2976
OUFI,-156.732,21.2982
OUFI,-156.721,21.2982
OUFI,-156.711,21.3041
OUFI,-156.7,21.3099
OUFI,-156.695,21.3143
OUFI,-156.682,21.3193
OUFI,-156.667,21.3222
OUFI,-156.657,21.3216
OUFI,-156.639,21.3167
OUFI,-156.615,21.3041
OUFI,-156.611,21.3013
OUFI,-156.583,21.2916
OUFI,-156.57,21.2913
OUFI,-156.555,21.2905
OUFI,-156.542,21.2908
OUFI,-156.532,21.3041
OUFI,-156.528,21.3074
OUFI,-156.512,21.3165
OUFI,-156.5,21.3209
OUFI,-156.485,21.3189
OUFI,-156.472,21.3145
OUFI,-156.466,21.3105
OUFI,-156.453,21.3041
OUFI,-156.449,21.2997
OUFI,-156.426,21.2955
OUFI,-156.417,21.294
OUFI,-156.403,21.2901
OUFI,-156.389,21.2859
OUFI,-156.362,21.2772
OUFI,-156.333,21.2697
OUFI,-156.313,21.2683
OUFI,-156.305,21.2641
OUFI,-156.294,21.26
OUFI,-156.28,21.2488
OUFI,-156.263,21.2354
OUFI,-156.25,21.2301
OUFI,-156.237,21.2211
OUFI,-156.222,21.212
OUFI,-156.198,21.1934
OUFI,-156.177,21.1658
OUFI,-156.167,21.1435
OUFI,-156.165,21.1378
OUFI,-156.164,21.1132
OUFI,-156.155,21.0935
OUFI,-156.139,21.0876
OUFI,-156.134,21.0865
OUFI,-156.111,21.088
OUFI,-156.099,21.0818
OUFI,-156.09,21.0746
OUFI,-156.083,21.0612
OUFI,-156.079,21.0541
OUFI,-156.083,21.0442
OUFI,-156.09,21.0264
OUFI,-156.09,21.0194
OUFI,-156.087,20.9988
OUFI,-156.085,20.9948
OUFI,-156.065,20.9674
OUFI,-156.056,20.9586
OUFI,-156.034,20.9411
OUFI,-156.028,20.9372
OUFI,-156.005,20.9139
OUFI,-155.997,20.8992
OUFI,-155.998,20.908
OUFI,-155.996,20.9039
OUFI,-155.991,20.8954
OUFI,-155.984,20.8847
OUFI,-155.973,20.8517
OUFI,-155.971,20.8461
OUFI,-155.954,20.816
OUFI,-155.952,20.8117
OUFI,-155.947,20.8089
OUFI,-155.942,20.8071
OUFI,-155.936,20.8037
OUFI,-155.933,20.7989
